Opp. Id;ContactId;RecordType.Name;Account.Name;Amount;Platform__c;CloseDate;Donation_Date__c;StageName;Campaign.Name
0065G00000oI8PQQA0;0035G00001j6jOvQAI;Donation;`3999;75;Check;19.04.2022;;Closed Won;2022 EWC
0065G00000oI8QTQA0;003f4000018pJhzAAE;Donation;`2432;75;Check;19.04.2022;;Closed Won;2022 EWC
0065G00000oI8RvQAK;003f40000172oudAAA;Donation;`2878;75;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oI8SQQA0;003f400001Th9rnAAB;Donation;`3512;150;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oI920QAC;0035G000027JcYqQAK;Donation;`1810;150;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oI921QAC;0035G000027JcZZQA0;Donation;`4176;75;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oI9AkQAK;003f400001HnSOqAAN;Donation;`3633;75;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oI9MaQAK;003f40000172rG4AAI;Donation;`5209;75;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oI9NTQA0;003f400001JzDtcAAF;Donation;`2015;75;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oI9P5QAK;003f40000172mWDAAY;Donation;`0654;75;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oI9QjQAK;003f400001CwGLqAAN;Donation;`0115;75;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oI9RNQA0;003f400001RjtuOAAR;Donation;`4349;75;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oIAX7QAO;003f40000172qAlAAI;Donation;`3803;75;Applied Art;19.04.2022;;Closed Won;2022 EWC
0065G00000oIAXlQAO;0035G00001gyD0nQAE;Donation;`4387;75;Applied Art;19.04.2022;;Closed Won;2022 EWC
0065G00000oIAYFQA4;0035G00001abZyvQAE;Donation;`3164;75;Applied Art;19.04.2022;;Closed Won;2022 EWC
0065G00000oIAaVQAW;003f40000172qoEAAQ;Donation;`4432;750;Applied Art;19.04.2022;;Closed Won;2022 EWC Table Captains
0065G00000oIAazQAG;003f40000172qoEAAQ;Donation;`4432;750;Applied Art;19.04.2022;;Closed Won;2022 EWC Table Captains
0065G00000oIAdFQAW;003f400001HnSMxAAN;Donation;`1990;75;Applied Art;19.04.2022;;Closed Won;2022 EWC
0065G00000oIAeNQAW;003f4000018pJgOAAU;Donation;`3429;75;Applied Art;19.04.2022;;Closed Won;2022 EWC
0065G00000oIAfaQAG;003f40000172qobAAA;Donation;`4762;75;Applied Art;19.04.2022;;Closed Won;2022 EWC
0065G00000oIAhCQAW;003f400001Th9pVAAR;Donation;`0908;75;Applied Art;19.04.2022;;Closed Won;2022 EWC
0065G00000oIFzWQAW;0035G000027JmXVQA0;Donation;`2844;100;Check;18.04.2022;;Closed Won;
0065G00000oIVkrQAG;0035G00001j97vCQAQ;Donation;`0313;153,68;Give Lively;21.04.2022;;Closed Won;2022 EWC
0065G00000oIVubQAG;003f40000172ndIAAQ;Donation;`1611;75;Applied Art;20.04.2022;;Closed Won;2022 EWC
0065G00000oIW3KQAW;003f40000172nqkAAA;Donation;`1931;75;Applied Art;20.04.2022;;Closed Won;2022 EWC
0065G00000oIW48QAG;003f40000172nquAAA;Donation;`1992;525;Give Lively;20.04.2022;;Closed Won;2022 EWC
0065G00000oIW6TQAW;003f40000172nqcAAA;Donation;`1881;75;Give Lively;19.04.2022;;Closed Won;2022 EWC
0065G00000oIWFaQAO;003f400001Th9rhAAB;Donation;`3397;150;Applied Art;21.04.2022;;Closed Won;2022 EWC
0065G00000oIfwTQAS;003f400001Np6S6AAJ;Donation;`3436;200;CTK Website;26.04.2022;;Closed Won;2022 EWC
0065G00000oIg01QAC;0035G000027HMTsQAO;Donation;`2624;25;CTK Website;27.04.2022;;Closed Won;2022 EWC
0065G00000oIg2aQAC;0035G000027J919QAC;Donation;`3841;25;CTK Website;26.04.2022;;Closed Won;2022 EWC
0065G00000oIg4cQAC;0035G00001pl3HsQAI;Donation;`0216;500;CTK Website;26.04.2022;;Closed Won;2022 EWC
0065G00000oIg4dQAC;003f40000172muLAAQ;Donation;`1030;500;CTK Website;26.04.2022;;Closed Won;2022 EWC
0065G00000oIg64QAC;003f400001LtyWPAAZ;Donation;`3805;25;CTK Website;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIg6iQAC;003f40000172pceAAA;Donation;`3665;100;CTK Website;26.04.2022;;Closed Won;2022 EWC
0065G00000oIg7RQAS;0035G00001j97nYQAQ;Donation;`2868;100;CTK Website;26.04.2022;;Closed Won;2022 EWC
0065G00000oIg80QAC;003f400001Th9pMAAR;Donation;`0693;100;CTK Website;26.04.2022;;Closed Won;2022 EWC
0065G00000oIg8oQAC;003f40000172raqAAA;Donation;`5404;100;CTK Website;26.04.2022;;Closed Won;2022 EWC
0065G00000oIgFBQA0;;Donation;`2317;88;Check;18.04.2022;;Closed Won;
0065G00000oIgFVQA0;003f40000172mVrAAI;Donation;`4042;10;Check;18.04.2022;;Closed Won;
0065G00000oIgHvQAK;0035G00002ARcbnQAD;Donation;`2708;500;Check;30.03.2022;;Closed Won;2022 EWC Sponsorships
0065G00000oIgw2QAC;0035G00002ARd9fQAD;Donation;`5187;75;CTK Website;26.04.2022;;Closed Won;2022 EWC
0065G00000oIgwvQAC;0035G00002ARd8nQAD;Donation;`4414;75;CTK Website;26.04.2022;;Closed Won;2022 EWC
0065G00000oIlT8QAK;;Donation;`0128;2300;Qgiv;27.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlT9QAK;003f400001HnSQHAA3;Donation;`4696;262,5;Qgiv;27.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTAQA0;0035G00002ARkWFQA1;Donation;`3862;26,25;Qgiv;27.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTBQA0;0035G00002ARkWGQA1;Donation;`4347;50;Qgiv;27.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTCQA0;003f40000172pMlAAI;Donation;`3289;50;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTDQA0;0035G00002ARkWHQA1;Donation;`2437;105;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTEQA0;0035G00002ARkWIQA1;Donation;`1721;52,5;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTFQA0;003f400001CvItMAAV;Donation;`0191;150;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTGQA0;0035G00002ARkWJQA1;Donation;`2885;52,5;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTHQA0;0035G00002ARkWKQA1;Donation;`4668;52,5;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTIQA0;0035G00002ARkWLQA1;Donation;`3699;10,5;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTJQA0;0035G00002ARkWMQA1;Donation;`2786;26,25;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTKQA0;0035G000027IVZ2QAO;Donation;`3781;100;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTLQA0;003f40000172ri1AAA;Donation;`5263;50;Qgiv;26.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
